Model,Variant,MAE,RMSE,R2,CV_RMSE_mean,CV_RMSE_std,Path
XGBoost,raw,15213.162042487158,25760.872647091353,0.9134818335473344,28628.642493227147,8075.065520730212,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/XGBoost_raw.pkl
GradientBoosting,raw,16262.379301339484,27351.464469951614,0.9024679539769703,29917.439658447467,8981.000207038796,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/GradientBoosting_raw.pkl
XGBoost,log,15572.90297249572,27461.456646216066,0.9016819388430468,28480.46479982278,7973.08638260263,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/XGBoost_log.pkl
LightGBM,raw,16666.756429715777,27643.846065340924,0.9003716133261421,30738.37524372603,8293.954663108656,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/LightGBM_raw.pkl
Ridge,log,16897.926956693158,28754.55815848221,0.8922047651487367,48005.269605105546,43386.23715773917,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/Ridge_log.pkl
LightGBM,log,16528.794640857017,28801.431649220638,0.8918530395399008,29376.991485412735,8058.3241207495885,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/LightGBM_log.pkl
LinearRegression,log,17209.201143950537,28960.360330472336,0.8906562188078875,52156.77722026385,48907.87580356558,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/LinearRegression_log.pkl
RandomForest,raw,17275.103938356162,28969.217191141488,0.8905893280156483,30874.21115414023,8052.469002550175,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/RandomForest_raw.pkl
RandomForest,log,17017.43042466063,29130.693469135083,0.889366204373737,30621.0876301246,6497.718025019215,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/RandomForest_log.pkl
GradientBoosting,log,17359.130677553443,30293.236977781813,0.880359689822295,30048.632457031017,9283.055300312704,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/GradientBoosting_log.pkl
Ridge,raw,19164.87245372971,30941.024430750225,0.8751882296834723,36923.69167284889,17454.629979662088,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/Ridge_raw.pkl
LinearRegression,raw,20012.909694887003,33122.01783877127,0.8569724368848973,40362.1186979714,15708.557414787509,/Users/burak1/Development/Kaggle/HousePrices/HousePrices/models/LinearRegression_raw.pkl
